,Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond
1794,ADAM ANT,0.5,1,0,0,0
1795,ADAM LAMBERT,0.5,1,0,0,0
1796,ADEMA,0.5,1,0,0,0
1797,ADINA HOWARD,0.5,1,0,0,0
1798,AFROMAN,0.5,1,0,0,0
1799,AJR,0.5,1,0,0,0
1800,AL DIMEOLA,0.5,1,0,0,0
1801,AL MARTINO,0.5,1,0,0,0
1802,ALAN WALKER,0.5,1,0,0,0
1803,ALEC BENJAMIN,0.5,1,0,0,0
1804,ALEJANDRO SANZ,0.5,1,0,0,0
1805,ALLAN SHERMAN,0.5,1,0,0,0
1806,ALLURE,0.5,1,0,0,0
1807,ALTER BRIDGE,0.5,1,0,0,0
1808,ALVIN AND THE CHIPMUNKS,0.5,1,0,0,0
1809,ALY & AJ,0.5,1,0,0,0
1810,AMERICAN AUTHORS,0.5,1,0,0,0
1811,AMG,0.5,1,0,0,0
1812,AMII STEWART,0.5,1,0,0,0
1813,AMINE,0.5,1,0,0,0
1814,ANDERSON BRUFORD WAKEMAN HOWE,0.5,1,0,0,0
1815,ANDRE KOSTELANETZ,0.5,1,0,0,0
1816,ANDREW DICE CLAY,0.5,1,0,0,0
1817,ANDY GRAMMER,0.5,1,0,0,0
1818,ANDY GRIGGS,0.5,1,0,0,0
1819,ANGELO BADALAMENTI,0.5,1,0,0,0
1820,ANGELS & AIRWAVES,0.5,1,0,0,0
1821,ANI DI FRANCO,0.5,1,0,0,0
1822,ANNA NALICK,0.5,1,0,0,0
1823,ASHER ROTH,0.5,1,0,0,0
1824,ASHLEY TISDALE,0.5,1,0,0,0
1825,AUBREY HILLIARD,0.5,1,0,0,0
1826,AUDIO ADRENALINE,0.5,1,0,0,0
1827,AUGUST ALSINA,0.5,1,0,0,0
1828,AUTOGRAPH,0.5,1,0,0,0
1829,AVA MAX,0.5,1,0,0,0
1830,B.J. THOMAS,0.5,1,0,0,0
1831,B.T. EXPRESS,0.5,1,0,0,0
1832,BABY AKA THE #1 STUNNA,0.5,1,0,0,0
1833,BABY BASH,0.5,1,0,0,0
1834,BAD BOY'S DA BAND,0.5,1,0,0,0
1835,BAD MEETS EVIL,0.5,1,0,0,0
1836,BAD RELIGION,0.5,1,0,0,0
1837,BANANARAMA,0.5,1,0,0,0
1838,BAND OF HORSES,0.5,1,0,0,0
1839,BANDA ARKANGEL,0.5,1,0,0,0
1840,BANDA MACHOS,0.5,1,0,0,0
1841,BANKS,0.5,1,0,0,0
1842,BAZ LUHRMANN,0.5,1,0,0,0
1843,BBMAK,0.5,1,0,0,0
1844,BEANIE SIGEL,0.5,1,0,0,0
1845,BELLY,0.5,1,0,0,0
1846,BEN HOWARD,0.5,1,0,0,0
1847,BENNY GOODMAN,0.5,1,0,0,0
1848,BERLIN PHILHARMONIC / KARAJAN,0.5,1,0,0,0
1849,BEYOND THE HORIZON,0.5,1,0,0,0
1850,BIG AUDIO DYNAMITE II,0.5,1,0,0,0
1851,BIG COUNTRY,0.5,1,0,0,0
1852,BIG L,0.5,1,0,0,0
1853,BIG MIKE,0.5,1,0,0,0
1854,BIG TIME RUSH,0.5,1,0,0,0
1855,BILLY JOE ROYAL,0.5,1,0,0,0
1856,BILLY PAUL,0.5,1,0,0,0
1857,BILLY VAUGHN & HIS ORCHESTRA,0.5,1,0,0,0
1858,BILLY VERA & THE BEATERS,0.5,1,0,0,0
1859,BIRDMAN / LIL WAYNE,0.5,1,0,0,0
1860,BIZ MARKIE,0.5,1,0,0,0
1861,BIZZY BONE,0.5,1,0,0,0
1862,BLACK BOX,0.5,1,0,0,0
1863,BLACK SHEEP,0.5,1,0,0,0
1864,BLESSID UNION OF SOULS,0.5,1,0,0,0
1865,BLOODROCK,0.5,1,0,0,0
1866,BLOOMFIELD / KOOPER / STILLS,0.5,1,0,0,0
1867,BLU CANTRELL,0.5,1,0,0,0
1868,BLUE MAN GROUP,0.5,1,0,0,0
1869,BLUR,0.5,1,0,0,0
1870,BO BICE,0.5,1,0,0,0
1871,BOB & DOUG MC KENZIE,0.5,1,0,0,0
1872,BOB DYLAN & THE DEAD,0.5,1,0,0,0
1873,BOB JAMES,0.5,1,0,0,0
1874,BOB JAMES & EARL KLUGH,0.5,1,0,0,0
1875,BOB RIVERS COMEDY CORP,0.5,1,0,0,0
1876,BOBBY 'BLUE' BLAND & B.B. KING,0.5,1,0,0,0
1877,BOBBY GENTRY,0.5,1,0,0,0
1878,BOBBY GENTRY & GLEN CAMPBELL,0.5,1,0,0,0
1879,BOBBY GOLDSBORO,0.5,1,0,0,0
1880,BOBBY SHMURDA,0.5,1,0,0,0
1881,BOBBY VALENTINO,0.5,1,0,0,0
1882,BODY COUNT,0.5,1,0,0,0
1883,BONHAM,0.5,1,0,0,0
1884,BORNS,0.5,1,0,0,0
1885,BOW WOW & OMARION,0.5,1,0,0,0
1886,BOWLING FOR SOUP,0.5,1,0,0,0
1887,BOYS LIKE GIRLS,0.5,1,0,0,0
1888,BRAND NEW,0.5,1,0,0,0
1889,BRANDI CARLILE,0.5,1,0,0,0
1890,BREATHE,0.5,1,0,0,0
1891,BRIGHT EYES,0.5,1,0,0,0
1892,BRING ME THE HORIZON,0.5,1,0,0,0
1893,BRITNY FOX,0.5,1,0,0,0
1894,BROTHERS OSBORNE,0.5,1,0,0,0
1895,BRUCE HORNSBY,0.5,1,0,0,0
1896,BRUCE WILLIS,0.5,1,0,0,0
1897,BRYAN FERRY,0.5,1,0,0,0
1898,BUBBA SPARXXX,0.5,1,0,0,0
1899,BUCK OWENS,0.5,1,0,0,0
1900,BUCKNER & GARCIA,0.5,1,0,0,0
1901,BUDDY GUY,0.5,1,0,0,0
1902,BUDDY JEWELL,0.5,1,0,0,0
1903,BUJU BANTON,0.5,1,0,0,0
1904,BULLET FOR MY VALENTINE,0.5,1,0,0,0
1905,BULLETBOYS,0.5,1,0,0,0
1906,BUN B,0.5,1,0,0,0
1907,BURL IVES,0.5,1,0,0,0
1908,BUTTHOLE SURFERS,0.5,1,0,0,0
1909,C.W. MC CALL,0.5,1,0,0,0
1910,CALBOY,0.5,1,0,0,0
1911,CAM,0.5,1,0,0,0
1912,CAM'RON PRESENTS THE DIPLOMATS,0.5,1,0,0,0
1913,CANDY DULFER,0.5,1,0,0,0
1914,CANDYMAN,0.5,1,0,0,0
1915,CANIBUS,0.5,1,0,0,0
1916,CAPPADONNA,0.5,1,0,0,0
1917,CARLOS SANTANA & JOHN MC LAUGHLIN,0.5,1,0,0,0
1918,CASSIDY,0.5,1,0,0,0
1919,CE CE PENISTON,0.5,1,0,0,0
1920,CHAMBERS BROTHERS,0.5,1,0,0,0
1921,CHANGE,0.5,1,0,0,0
1922,CHANTE MOORE,0.5,1,0,0,0
1923,CHARLIE WILSON,0.5,1,0,0,0
1924,CHAYANNE,0.5,1,0,0,0
1925,CHELY WRIGHT,0.5,1,0,0,0
1926,CHERISH,0.5,1,0,0,0
1927,CHERYL LYNN,0.5,1,0,0,0
1928,CHICKENFOOT,0.5,1,0,0,0
1929,CHICO DE BARGE,0.5,1,0,0,0
1930,CHIEF KEEF,0.5,1,0,0,0
1931,CHRIS DE BURGH,0.5,1,0,0,0
1932,CHRIS JANSON,0.5,1,0,0,0
1933,CHRIS REA,0.5,1,0,0,0
1934,CHUCK BERRY,0.5,1,0,0,0
1935,CHUCK BROWN / SOUL SEARCHERS,0.5,1,0,0,0
1936,CITIZEN COPE,0.5,1,0,0,0
1937,CITY HIGH,0.5,1,0,0,0
1938,CLAUDINE LONGET,0.5,1,0,0,0
1939,CLEDUS T. JUDD,0.5,1,0,0,0
1940,CLIPSE,0.5,1,0,0,0
1941,COAL CHAMBER,0.5,1,0,0,0
1942,COLT FORD,0.5,1,0,0,0
1943,CONAN GRAY,0.5,1,0,0,0
1944,CONCRETE BLONDE,0.5,1,0,0,0
1945,CONNIE FRANCIS,0.5,1,0,0,0
1946,CRACKER,0.5,1,0,0,0
1947,CRAIG MACK,0.5,1,0,0,0
1948,CROWDER,0.5,1,0,0,0
1949,CRUCIAL CONFLICT,0.5,1,0,0,0
1950,CRYSTAL LEWIS,0.5,1,0,0,0
1951,CRYSTAL WATERS,0.5,1,0,0,0
1952,CUTTING CREW,0.5,1,0,0,0
1953,CYNDI THOMSON,0.5,1,0,0,0
1954,D.R.A.M.,0.5,1,0,0,0
1955,D.R.S.,0.5,1,0,0,0
1956,D4L,0.5,1,0,0,0
1957,DA LENCH MOB,0.5,1,0,0,0
1958,DALLAS HOLM & PRAISE,0.5,1,0,0,0
1959,DAMIAN MARLEY,0.5,1,0,0,0
1960,DAMIEN RICE,0.5,1,0,0,0
1961,DAN HILL,0.5,1,0,0,0
1962,DANA DANE,0.5,1,0,0,0
1963,DANGEROUS TOYS,0.5,1,0,0,0
1964,DANIEL BEDINGFIELD,0.5,1,0,0,0
1965,DANIEL CAESAR,0.5,1,0,0,0
1966,DANIEL POWTER,0.5,1,0,0,0
1967,DANZIG,0.5,1,0,0,0
1968,DARRYL WORLEY,0.5,1,0,0,0
1969,DAVE WILLIAMSON  BIG BAND,0.5,1,0,0,0
1970,DAVID & DAVID,0.5,1,0,0,0
1971,DAVID ARCHULETA,0.5,1,0,0,0
1972,DAVID CASSIDY,0.5,1,0,0,0
1973,DAVID CROSBY,0.5,1,0,0,0
1974,DAVID LANZ,0.5,1,0,0,0
1975,DAVID R. MARACLE,0.5,1,0,0,0
1976,DAVID ROSE & HIS ORCHESTRA,0.5,1,0,0,0
1977,DAWN,0.5,1,0,0,0
1978,DAYA,0.5,1,0,0,0
1979,DAZZ BAND,0.5,1,0,0,0
1980,DEAD KENNEDYS,0.5,1,0,0,0
1981,DEAD OR ALIVE,0.5,1,0,0,0
1982,DEADMAU5,0.5,1,0,0,0
1983,DEAN LEWIS,0.5,1,0,0,0
1984,DEBBIE HARRY,0.5,1,0,0,0
1985,DEEE-LITE,0.5,1,0,0,0
1986,DEEP BLUE SOMETHING,0.5,1,0,0,0
1987,DEEP FOREST,0.5,1,0,0,0
1988,DEF SQUAD,0.5,1,0,0,0
1989,DELIRIOUS?,0.5,1,0,0,0
1990,DEM FRANCHIZE BOYZ,0.5,1,0,0,0
1991,DENIS LEARY,0.5,1,0,0,0
1992,DIANA KING,0.5,1,0,0,0
1993,DIANA ROSS & LIONEL RICHIE,0.5,1,0,0,0
1994,DIANA ROSS & THE SUPREMES,0.5,1,0,0,0
1995,DIDDY,0.5,1,0,0,0
1996,DIGABLE PLANETS,0.5,1,0,0,0
1997,DINO,0.5,1,0,0,0
1998,DIPLO,0.5,1,0,0,0
1999,DIRTY VEGAS,0.5,1,0,0,0
2000,DISHWALLA,0.5,1,0,0,0
2001,DIVINYLS,0.5,1,0,0,0
2002,DJ MAGIC MIKE & MC MADNESS,0.5,1,0,0,0
2003,DNCE,0.5,1,0,0,0
2004,DOJA CAT,0.5,1,0,0,0
2005,DOLLY PARTON WITH TAMMY WYNETTE & LORETTA LYNN,0.5,1,0,0,0
2006,DOMINO,0.5,1,0,0,0
2007,DON HO,0.5,1,0,0,0
2008,DON JOHNSON,0.5,1,0,0,0
2009,DON MOEN,0.5,1,0,0,0
2010,DON TOLIVER,0.5,1,0,0,0
2011,DONNA FARGO,0.5,1,0,0,0
2012,DONNY HATHAWAY,0.5,1,0,0,0
2013,DORIS DAY,0.5,1,0,0,0
2014,DOUG SUPERNAW,0.5,1,0,0,0
2015,DR. BUZZARD'S ... SAVANNAH BAND,0.5,1,0,0,0
2016,DR. HOOK,0.5,1,0,0,0
2017,DR. MARK BESHARA,0.5,1,0,0,0
2018,DRAG-ON,0.5,1,0,0,0
2019,DRAGONFORCE,0.5,1,0,0,0
2020,DRAMA,0.5,1,0,0,0
2021,DRAMATICS,0.5,1,0,0,0
2022,DREAM STREET,0.5,1,0,0,0
2023,DREAM THEATER,0.5,1,0,0,0
2024,DRIVIN' N CRYIN',0.5,1,0,0,0
2025,DROPKICK MURPHYS,0.5,1,0,0,0
2026,DUANE ALLMAN,0.5,1,0,0,0
2027,DUFFY,0.5,1,0,0,0
2028,DUICE,0.5,1,0,0,0
2029,DUNCAN SHEIK,0.5,1,0,0,0
2030,DYLAN SCOTT,0.5,1,0,0,0
2031,EAMON,0.5,1,0,0,0
2032,EARL GRANT,0.5,1,0,0,0
2033,EARL THOMAS CONLEY,0.5,1,0,0,0
2034,EAST COAST FAMILY,0.5,1,0,0,0
2035,ECHOSMITH,0.5,1,0,0,0
2036,EDDY GRANT,0.5,1,0,0,0
2037,EDEN'S CRUSH,0.5,1,0,0,0
2038,EDWARD SHARPE & THE MAGNETIC ZEROS,0.5,1,0,0,0
2039,EL DEBARGE,0.5,1,0,0,0
2040,ELASTICA,0.5,1,0,0,0
2041,ELEVATION WORSHIP,0.5,1,0,0,0
2042,ELLA FITZGERALD,0.5,1,0,0,0
2043,ELLE KING,0.5,1,0,0,0
2044,ELLIOTT YAMIN,0.5,1,0,0,0
2045,ELTON JOHN & TIM RICE,0.5,1,0,0,0
2046,EMELI SANDE,0.5,1,0,0,0
2047,EMPIRE CAST,0.5,1,0,0,0
2048,EMPIRE OF THE SUN,0.5,1,0,0,0
2049,ENGLAND DAN & JOHN FORD COLEY,0.5,1,0,0,0
2050,ENOCH LIGHT,0.5,1,0,0,0
2051,ERIC BENET,0.5,1,0,0,0
2052,ERIC CARMEN,0.5,1,0,0,0
2053,ESCAPE CLUB,0.5,1,0,0,0
2054,ETTA JAMES,0.5,1,0,0,0
2055,EVELYN KING,0.5,1,0,0,0
2056,EVERYTHING BUT THE GIRL,0.5,1,0,0,0
2057,EVIE,0.5,1,0,0,0
2058,F.L.Y. (FAST LIFE YUNGSTAZ),0.5,1,0,0,0
2059,FACES,0.5,1,0,0,0
2060,FALCO,0.5,1,0,0,0
2061,FALLING IN REVERSE,0.5,1,0,0,0
2062,FAMOUS DEX,0.5,1,0,0,0
2063,FASTER PUSSYCAT,0.5,1,0,0,0
2064,FATBACK BAND,0.5,1,0,0,0
2065,FEAR FACTORY,0.5,1,0,0,0
2066,FEIST,0.5,1,0,0,0
2067,FERRANTE & TEICHER,0.5,1,0,0,0
2068,FIEND,0.5,1,0,0,0
2069,FITZ AND THE TANTRUMS,0.5,1,0,0,0
2070,FLEET FOXES,0.5,1,0,0,0
2071,FLESH & BONE,0.5,1,0,0,0
2072,FLIP WILSON,0.5,1,0,0,0
2073,FLIPMODE SQUAD,0.5,1,0,0,0
2074,FLOETRY,0.5,1,0,0,0
2075,FLOGGING MOLLY,0.5,1,0,0,0
2076,FLUME,0.5,1,0,0,0
2077,FOR KING & COUNTRY,0.5,1,0,0,0
2078,FOR KING & COUNTRY,0.5,1,0,0,0
2079,FRANCESCA BATTISTELLI,0.5,1,0,0,0
2080,FRANK FONTAINE,0.5,1,0,0,0
2081,FRANK MILLS,0.5,1,0,0,0
2082,FRANK ZAPPA,0.5,1,0,0,0
2083,FRANKIE GOES TO HOLLYWOOD,0.5,1,0,0,0
2084,FRANKIE VALLI & THE FOUR SEASONS,0.5,1,0,0,0
2085,FREDDIE HART,0.5,1,0,0,0
2086,FREDDY FENDER,0.5,1,0,0,0
2087,FU-SCHNICKENS,0.5,1,0,0,0
2088,FUNKMASTER FLEX & BIG KAP,0.5,1,0,0,0
2089,G HERBO,0.5,1,0,0,0
2090,G. LOVE AND SPECIAL SAUCE,0.5,1,0,0,0
2091,GABBY BARRETT,0.5,1,0,0,0
2092,GARY LEWIS,0.5,1,0,0,0
2093,GARY MOORE,0.5,1,0,0,0
2094,GARY MORRIS,0.5,1,0,0,0
2095,GATO BARBIERI,0.5,1,0,0,0
2096,GEORGE BENSON & EARL KLUGH,0.5,1,0,0,0
2097,GEORGE DUKE,0.5,1,0,0,0
2098,GEORGE EZRA,0.5,1,0,0,0
2099,GEORGE HARRISON & FRIENDS,0.5,1,0,0,0
2100,GEORGE JONES & TAMMY WYNETTE,0.5,1,0,0,0
2101,"GERALD LEVERT & EDDIE LEVERT, SR.",0.5,1,0,0,0
2102,GERARDO,0.5,1,0,0,0
2103,GERI HALLIWELL,0.5,1,0,0,0
2104,GIORGIO MARAUDER,0.5,1,0,0,0
2105,GIVEON,0.5,1,0,0,0
2106,GLADYS KNIGHT,0.5,1,0,0,0
2107,GLASS TIGER,0.5,1,0,0,0
2108,GLEN HANSARD & MARKETA IRGLOVA,0.5,1,0,0,0
2109,GNASH,0.5,1,0,0,0
2110,GOLDEN EARRING,0.5,1,0,0,0
2111,GOLDLINK,0.5,1,0,0,0
2112,GRAHAM CENTRAL STATION,0.5,1,0,0,0
2113,GRAHAM NASH,0.5,1,0,0,0
2114,GREEN JELLY,0.5,1,0,0,0
2115,GREGG ALLMAN,0.5,1,0,0,0
2116,GREGG BAND ALLMAN,0.5,1,0,0,0
2117,GREGORY ABBOTT,0.5,1,0,0,0
2118,GRETA VAN FLEET,0.5,1,0,0,0
2119,GROOVE THEORY,0.5,1,0,0,0
2120,GROUPLOVE,0.5,1,0,0,0
2121,GRUPO LIMITE,0.5,1,0,0,0
2122,GRUPO MOJADO,0.5,1,0,0,0
2123,GTR,0.5,1,0,0,0
2124,GYM CLASS HEROES,0.5,1,0,0,0
2125,H.I.M.,0.5,1,0,0,0
2126,HAL KETCHUM,0.5,1,0,0,0
2127,HARRY SIMEONE,0.5,1,0,0,0
2128,HARVEY DANGER,0.5,1,0,0,0
2129,HEAD EAST,0.5,1,0,0,0
2130,HEAVY D,0.5,1,0,0,0
2131,HELLYEAH,0.5,1,0,0,0
2132,HELMET,0.5,1,0,0,0
2133,HIGHWAY 101,0.5,1,0,0,0
2134,HILLSONG UNITED,0.5,1,0,0,0
2135,HOLIDAY SPIRITS,0.5,1,0,0,0
2136,HOLLY DUNN,0.5,1,0,0,0
2137,HOUSTON,0.5,1,0,0,0
2138,HOWIE DAY,0.5,1,0,0,0
2139,HUGO MONTENEGRO,0.5,1,0,0,0
2140,HUMAN LEAGUE,0.5,1,0,0,0
2141,IBRAHIM FERRER,0.5,1,0,0,0
2142,IDEAL,0.5,1,0,0,0
2143,IDINA MENZEL,0.5,1,0,0,0
2144,IKE AND TINA TURNER,0.5,1,0,0,0
2145,IMOGEN HEAP,0.5,1,0,0,0
2146,IN THIS MOMENT,0.5,1,0,0,0
2147,INFORMATION SOCIETY,0.5,1,0,0,0
2148,INSTANT FUNK,0.5,1,0,0,0
2149,INTERNET MONEY,0.5,1,0,0,0
2150,INTRO,0.5,1,0,0,0
2151,IT'S A BEAUTIFUL DAY,0.5,1,0,0,0
2152,J-KWON,0.5,1,0,0,0
2153,J. HOLIDAY,0.5,1,0,0,0
2154,J. MACDONALD & NELSON EDDY,0.5,1,0,0,0
2155,J.J. FAD,0.5,1,0,0,0
2156,JACK HARLOW,0.5,1,0,0,0
2157,JACK WHITE,0.5,1,0,0,0
2158,JACQUEES,0.5,1,0,0,0
2159,JAMES,0.5,1,0,0,0
2160,JAMES TAYLOR & CAROLE KING,0.5,1,0,0,0
2161,JAMIE O'NEAL,0.5,1,0,0,0
2162,JANN ARDEN,0.5,1,0,0,0
2163,JAZMINE SULLIVAN,0.5,1,0,0,0
2164,JEAN P. RAMPAL & CLAUDE BOLLING,0.5,1,0,0,0
2165,JEANNIE C. RILEY,0.5,1,0,0,0
2166,JENNIFER KNAPP,0.5,1,0,0,0
2167,JERRY JEFF WALKER,0.5,1,0,0,0
2168,JESS GLYNNE,0.5,1,0,0,0
2169,JESSE JOHNSON'S REVUE,0.5,1,0,0,0
2170,JESSE POWELL,0.5,1,0,0,0
2171,JESSICA ANDREWS,0.5,1,0,0,0
2172,JIMI HENDRIX & OTIS REDDING,0.5,1,0,0,0
2173,JIMMY PAGE,0.5,1,0,0,0
2174,JIMMY PAGE & THE BLACK CROWES,0.5,1,0,0,0
2175,JIVE BUNNY & MASTERMIXERS,0.5,1,0,0,0
2176,JJ CALE & ERIC CLAPTON,0.5,1,0,0,0
2177,JOANIE BARTELS,0.5,1,0,0,0
2178,JOEY MC INTYRE,0.5,1,0,0,0
2179,JOEY+RORY,0.5,1,0,0,0
2180,JOHN CONLEE,0.5,1,0,0,0
2181,JOHN MAYALL,0.5,1,0,0,0
2182,JOHN MAYER TRIO,0.5,1,0,0,0
2183,JOHN P. KEE,0.5,1,0,0,0
2184,JOHN PRINE,0.5,1,0,0,0
2185,JOHN WAITE,0.5,1,0,0,0
2186,JOHNNY LEE,0.5,1,0,0,0
2187,JOHNNY MATHIS & DENIECE WILLIAMS,0.5,1,0,0,0
2188,JOHNNY WINTER,0.5,1,0,0,0
2189,JON BELLION,0.5,1,0,0,0
2190,JONAS BLUE,0.5,1,0,0,0
2191,JONATHAN BUTLER,0.5,1,0,0,0
2192,JORDAN KNIGHT,0.5,1,0,0,0
2193,JOSE LUIS RODRIGUEZ,0.5,1,0,0,0
2194,JOSH GRACIN,0.5,1,0,0,0
2195,JUDI SHEPPARD MISSETT,0.5,1,0,0,0
2196,JUDY GARLAND,0.5,1,0,0,0
2197,JUELZ SANTANA,0.5,1,0,0,0
2198,JULIE ROBERTS,0.5,1,0,0,0
2199,JUNIOR M.A.F.I.A.,0.5,1,0,0,0
2200,K.C. & THE SUNSHINE BAND,0.5,1,0,0,0
2201,K.D. LANG & THE RECLINES,0.5,1,0,0,0
2202,K7,0.5,1,0,0,0
2203,KALEO,0.5,1,0,0,0
2204,KANE & ABEL,0.5,1,0,0,0
2205,KAOMA,0.5,1,0,0,0
2206,KARLA BONOFF,0.5,1,0,0,0
2207,KATE BUSH,0.5,1,0,0,0
2208,KEALI'I REICHEL,0.5,1,0,0,0
2209,KEB' MO',0.5,1,0,0,0
2210,KEITH ANDERSON,0.5,1,0,0,0
2211,KEITH GREEN,0.5,1,0,0,0
2212,KEITH MURRAY,0.5,1,0,0,0
2213,KEITH RICHARDS,0.5,1,0,0,0
2214,KEITH WASHINGTON,0.5,1,0,0,0
2215,KEKE WYATT,0.5,1,0,0,0
2216,KELIS,0.5,1,0,0,0
2217,KELLIE PICKLER,0.5,1,0,0,0
2218,KELLY ROWLAND,0.5,1,0,0,0
2219,KENNY LATTIMORE,0.5,1,0,0,0
2220,KENT HENRY,0.5,1,0,0,0
2221,KERI HILSON,0.5,1,0,0,0
2222,KEVIN LYTTLE,0.5,1,0,0,0
2223,KEVIN SHARP,0.5,1,0,0,0
